winner,loser,method
Chris Curtis,Joaquin Buckley,KO (punches)
Billy Quarantillo,Alexander Hernandez,TKO (knees and punches)
T.J. Brown,Erik Silva,Submission (arm-triangle choke)
Cameron Saaiman,Steven Koslow,TKO (knees and punches)
Stephen Thompson,Kevin Holland,TKO (corner stoppage)
Rafael dos Anjos,Bryan Barberena,Submission (neck crank)
Matheus Nicolau,Matt Schnell,KO (punches)
Sergei Pavlovich,Tai Tuivasa,KO (punches)
Roman Dolidze,Jack Hermansson,TKO (punches)
Eryk Anders,Kyle Daukaus,TKO (punches)
Philip Rowe,Niko Price,TKO (punches)
Angela Hill,Emily Ducote,"Decision (unanimous) (30–27, 30–27, 30–27)"
Clay Guida,Scott Holtzman,"Decision (split) (28–29, 29–28, 29–28)"
Michael Johnson,Marc Diakiese,"Decision (unanimous) (29–28, 29–28, 30–27)"
Jonathan Pearce,Darren Elkins,"Decision (unanimous) (30–27, 30–27, 30–26)"
Natan Levy,Genaro Valdèz,"Decision (unanimous) (29–28, 29–28, 30–27)"
Francis Marshall,Marcelo Rojo,KO (punches)
Yazmin Jauregui,Istela Nunes,TKO (punches)
Kennedy Nzechukwu,Ion Cuțelaba,TKO (knee and punches)
Waldo Cortes-Acosta,Chase Sherman,"Decision (unanimous) (30–27, 29–28, 29–28)"
Muslim Salikhov,André Fialho,TKO (spinning wheel kick and punches)
Jack Della Maddalena,Danny Roberts,TKO (punches)
Charles Johnson,Zhalgas Zhumagulov,"Decision (split) (29–28, 28–29, 29–28)"
Jennifer Maia,Maryna Moroz,"Decision (unanimous) (30–27, 29–28, 29–28)"
Miles Johns,Vince Morales,"Decision (unanimous) (30–27, 29–28, 29–28)"
Ricky Turcios,Kevin Natividad,"Decision (split) (29–28, 28–29, 29–28)"
Vanessa Demopoulos,Maria Oliveira,"Decision (unanimous) (29–28, 29–28, 29–28)"
Brady Hiestand,Fernie Garcia,"Decision (unanimous) (29–28, 29–28, 29–28)"
Natália Silva,Tereza Bledá,TKO (spinning back kick and punches)
Alex Pereira,Israel Adesanya(c),TKO (punches)
Zhang Weili,Carla Esparza(c),Submission (rear-naked choke)
Dustin Poirier,Michael Chandler,Submission (rear-naked choke)
Chris Gutiérrez,Frankie Edgar,KO (knee)
Dan Hooker,Claudio Puelles,TKO (body kick)
Renato Moicano,Brad Riddell,Submission (rear-naked choke)
Ryan Spann,Dominick Reyes,KO (punches)
Erin Blanchfield,Molly McCann,Submission (kimura)
Andre Petroski,Wellington Turman,"Decision (unanimous) (30–27, 30–27, 29–28)"
Matt Frevola,Ottman Azaitar,KO (punch)
Karolina Kowalkiewicz,Silvana Gómez Juárez,"Decision (unanimous) (29–28, 29–28, 29–28)"
Michael Trizano,Seung Woo Choi,KO (punches)
Montel Jackson,Julio Arce,"Decision (unanimous) (30–27, 30–27, 29–28)"
Carlos Ulberg,Nicolae Negumereanu,KO (punches)
Amanda Lemos,Marina Rodriguez,TKO (punches)
Neil Magny,Daniel Rodriguez,Submission (D'Arce choke)
Shayilan Nuerdanbieke,Darrick Minner,TKO (elbows)
Tagir Ulanbekov,Nate Maness,Submission (guillotine choke)
Grant Dawson,Mark Madsen,Submission (rear-naked choke)
Miranda Maverick,Shanna Young,"Decision (unanimous) (30–26, 30–26, 30–26)"
Mario Bautista,Benito Lopez,Submission (reverse triangle armbar)
Polyana Viana,Jinh Yu Frey,KO (punches)
Johnny Muñoz Jr.,Liudvik Sholinian,"Decision (unanimous) (30–27, 30–27, 29–28)"
Jake Hadley,Carlos Candelario,Submission (triangle choke)
Tamires Vidal,Ramona Pascual,TKO (flying knee to the body)
Arnold Allen,Calvin Kattar,TKO (knee injury)
Max Griffin,Tim Means,"Decision (split) (29–28, 28–29, 30–27)"
Waldo Cortes-Acosta,Jared Vanderaa,"Decision (unanimous) (30–27, 29–28, 29–28)"
Tresean Gore,Josh Fremd,Technical Submission (guillotine choke)
Khalil Rountree Jr.,Dustin Jacoby,"Decision (split) (29–28, 28–29, 29–28)"
Roman Dolidze,Phil Hawes,KO (punches)
Marcos Rogério de Lima,Andrei Arlovski,Submission (rear-naked choke)
Jun Yong Park,Joseph Holmes,Submission (rear-naked choke)
Steve Garcia,Chase Hooper,TKO (punches)
Cody Durden,Carlos Mota,"Decision (unanimous) (30–27, 29–28, 29–28)"
Christian Rodriguez,Joshua Weems,Submission (anaconda choke)
Islam Makhachev,Charles Oliveira,Submission (arm-triangle choke)
Aljamain Sterling(c),T.J. Dillashaw,TKO (punches)
Sean O'Malley,Petr Yan,"Decision (split) (29–28, 28–29, 29–28)"
Beneil Dariush,Mateusz Gamrot,"Decision (unanimous) (30–27, 30–27, 29–28)"
Manon Fiorot,Katlyn Chookagian,"Decision (unanimous) (29–28, 29–28, 29–28)"
Belal Muhammad,Sean Brady,TKO (punches)
Caio Borralho,Makhmud Muradov,"Decision (unanimous) (30–27, 30–27, 29–28)"
Nikita Krylov,Volkan Oezdemir,"Decision (unanimous) (30–27, 29–28, 29–28)"
Abubakar Nurmagomedov,Gadzhi Omargadzhiev,"Decision (unanimous) (29–28, 29–28, 30–27)"
Armen Petrosyan,A.J. Dobson,"Decision (unanimous) (30–27, 30–27, 30–27)"
Muhammad Mokaev,Malcolm Gordon,Submission (armbar)
Karol Rosa,Lina Länsberg,"Decision (majority) (29–27, 29–27, 28–28)"
Alexa Grasso,Viviane Araújo,"Decision (unanimous) (50–45, 49–46, 49–46)"
Jonathan Martinez,Cub Swanson,TKO (leg kick)
Duško Todorović,Jordan Wright,TKO (punches and elbows)
Raphael Assunção,Victor Henry,"Decision (unanimous) (30–27, 30–27, 30–27)"
Alonzo Menifield,Misha Cirkunov,KO (punches)
Leomana Martinez,Brandon Davis,"Decision (split) (28–29, 29–28, 29–28)"
Jacob Malkoun,Nick Maximov,"Decision (unanimous) (30–27, 30–27, 30–27)"
Joanderson Brito,Lucas Alexander,Submission (rear-naked choke)
Piera Rodríguez,Sam Hughes,"Decision (unanimous) (29–28, 29–28, 29–28)"
Tatsuro Taira,C.J. Vergara,Submission (armbar)
Pete Rodriguez,Mike Jackson,KO (punches and knee)
Yan Xiaonan,Mackenzie Dern,"Decision (majority) (48–47, 48–47, 47–47)"
Randy Brown,Francisco Trinaldo,"Decision (unanimous) (29–28, 29–28, 29–28)"
Raoni Barcelos,Trevin Jones,"Decision (unanimous) (30–25, 30–27, 30–27)"
Sodiq Yusuff,Don Shainis,Submission (guillotine choke)
Mike Davis,Viacheslav Borshchev,"Decision (unanimous) (29–28, 30–26, 30–26)"
Daniel Santos,John Castañeda,KO (punches and knee)
Ilir Latifi,Aleksei Oleinik,"Decision (unanimous) (30–27, 30–27, 30–27)"
Joaquim Silva,Jesse Ronson,TKO (knee and punches)
Brendan Allen,Krzysztof Jotko,Submission (rear-naked choke)
Chelsea Chandler,Julija Stoliarenko,TKO (punches)
Guido Cannetti,Randy Costa,Submission (rear-naked choke)
Cory Sandhagen,Song Yadong,TKO (doctor stoppage)
Gregory Rodrigues,Chidi Njokuani,TKO (punches)
Andre Fili,Bill Algeo,"Decision (split) (28–29, 29–28, 29–28)"
Joseph Pyfer,Alen Amedovski,TKO (punches)
Rodrigo Nascimento,Tanner Boser,"Decision (split) (30–27, 28–29, 29–28)"
Anthony Hernandez,Marc-André Barriault,Technical Submission (arm-triangle choke)
Damon Jackson,Pat Sabatini,TKO (punches)
Trevin Giles,Louis Cosce,"Decision (unanimous) (30–27, 29–28, 29–28)"
Loma Lookboonmee,Denise Gomes,"Decision (unanimous) (30–27, 30–27, 29–28)"
Trey Ogden,Daniel Zellhuber,"Decision (unanimous) (30–27, 30–27, 29–28)"
Gillian Robertson,Mariya Agapova,Technical Submission (rear-naked choke)
Javid Basharat,Tony Gravely,"Decision (unanimous) (29–28, 29–28, 29–28)"
Nikolas Motta,Cameron VanCamp,TKO (punches)
Nate Diaz,Tony Ferguson,Submission (guillotine choke)
Khamzat Chimaev,Kevin Holland,Submission (D'Arce choke)
Daniel Rodriguez,Li Jingliang,"Decision (split) (29–28, 28–29, 29–28)"
Irene Aldana,Macy Chiasson,KO (upkick to the body)
Johnny Walker,Ion Cuțelaba,Submission (rear-naked choke)
Julian Erosa,Hakeem Dawodu,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jailton Almeida,Anton Turkalj,Submission (rear-naked choke)
Denis Tiuliulin,Jamie Pickett,TKO (knee and punches)
Chris Barnett,Jake Collier,TKO (punches)
Norma Dumont,Danyelle Wolf,"Decision (unanimous) (30–27, 30–27, 30–26)"
Alateng Heili,Chad Anheliger,"Decision (unanimous) (30–27, 30–27, 30–27)"
Elise Reed,Melissa Martinez,"Decision (unanimous) (29–28, 29–28, 29–28)"
Yohan Lainesse,Darian Weeks,"Decision (split) (29–28, 28–29, 29–28)"
Ciryl Gane,Tai Tuivasa,KO (punches)
Robert Whittaker,Marvin Vettori,"Decision (unanimous) (30–27, 30–27, 29–28)"
Nassourdine Imavov,Joaquin Buckley,"Decision (unanimous) (29–28, 29–28, 30–27)"
Roman Kopylov,Alessio Di Chirico,KO (punches)
William Gomis,Jarno Errens,"Decision (majority) (29–28, 29–28, 29–29)"
Nathaniel Wood,Charles Jourdain,"Decision (unanimous) (30–27, 30–27, 29–28)"
Abus Magomedov,Dustin Stoltzfus,KO (front kick and punches)
Nasrat Haqparast,John Makdessi,"Decision (unanimous) (30–27, 30–27, 29–28)"
Farès Ziam,Michal Figlak,"Decision (unanimous) (30–27, 30–27, 29–28)"
Benoît Saint-Denis,Gabriel Miranda,TKO (punches)
Cristian Quiñónez,Khalid Taha,TKO (punches)
Stephanie Egger,Ailín Pérez,Submission (rear-naked choke)
Leon Edwards,Kamaru Usman(c),KO (head kick)
Paulo Costa,Luke Rockhold,"Decision (unanimous) (30–27, 30–27, 30–27)"
Merab Dvalishvili,José Aldo,"Decision (unanimous) (29–28, 29–28, 30–27)"
Lucie Pudilová,Wu Yanan,TKO (elbows)
Tyson Pedro,Harry Hunsucker,TKO (body kick and punches)
Marcin Tybura,Alexander Romanov,"Decision (majority) (29–28, 29–28, 28–28)"
Jared Gordon,Leonardo Santos,"Decision (unanimous) (30–27, 30–27, 30–27)"
Sean Woodson,Luis Saldaña,"Draw (split) (29–27, 27–29, 28–28)"
Ange Loosa,A.J. Fletcher,"Decision (unanimous) (29–27, 29–28, 29–28)"
Amir Albazi,Francisco Figueiredo,Submission (rear-naked choke)
Aori Qileng,Jay Perrin,"Decision (unanimous) (29–28, 29–28, 29–28)"
Victor Altamirano,Daniel Lacerda,TKO (punches and elbows)
Marlon Vera,Dominick Cruz,KO (head kick)
Nate Landwehr,David Onama,"Decision (majority) (28–28, 29–27, 29–27)"
Yazmin Jauregui,Iasmin Lucindo,"Decision (unanimous) (30–27, 29–28, 29–28)"
Azamat Murzakanov,Devin Clark,TKO (punches)
Priscila Cachoeira,Ariane Lipski,TKO (punches)
Gerald Meerschaert,Bruno Silva,Submission (guillotine choke)
Angela Hill,Lupita Godinez,"Decision (unanimous) (29–28, 29–28, 29–28)"
Martin Buday,Łukasz Brzeski,"Decision (split) (29–28, 28–29, 29–28)"
Nina Nunes,Cynthia Calvillo,"Decision (split) (28–29, 29–28, 30–27)"
Gabriel Benítez,Charlie Ontiveros,TKO (punches)
Tyson Nam,Ode' Osbourne,KO (punches)
Josh Quinlan,Jason Witt,KO (punch)
Da'Mon Blackshear,Youssef Zalal,"Draw (majority) (29–28, 28–28, 28–28)"
Jamahal Hill,Thiago Santos,TKO (punches and elbows)
Geoff Neal,Vicente Luque,KO (punches)
Mohammed Usman,Zac Pauga,KO (punches)
Juliana Miller,Brogan Walker-Sanchez,TKO (punches and elbows)
Sergey Spivak,Augusto Sakai,TKO (punches)
Terrance McKinney,Erick Gonzalez,Submission (rear-naked choke)
Michał Oleksiejczuk,Sam Alvey,TKO (punches)
Bryan Battle,Takashi Sato,KO (head kick)
Cory McKenna,Miranda Granger,Submission (Von Flue choke)
Mayra Bueno Silva,Stephanie Egger,Submission (armbar)
Amanda Nunes,Julianna Peña(c),"Decision (unanimous) (50–45, 50–44, 50–43)"
Brandon Moreno,Kai Kara-France,TKO (body kick and punches)
Sergei Pavlovich,Derrick Lewis,TKO (punches)
Alexandre Pantoja,Alex Perez,Submission (neck crank)
Magomed Ankalaev,Anthony Smith,TKO (punches)
Alex Morono,Matthew Semelsberger,"Decision (unanimous) (29–28, 29–28, 30–27)"
Drew Dober,Rafael Alves,KO (punch to the body)
Hamdy Abdelwahab,Don'Tale Mayes,No Contest (overturned)
Drakkar Klose,Rafa García,"Decision (unanimous) (29–28, 29–28, 29–28)"
Michael Morales,Adam Fugitt,TKO (punches)
Joselyne Edwards,Ji Yeon Kim,"Decision (split) (28–29, 29–28, 30–27)"
Nicolae Negumereanu,Ihor Potieria,TKO (punches and knees)
Orion Cosce,Mike Mathetha,"Decision (unanimous) (29–28, 29–28, 29–28)"
Curtis Blaydes,Tom Aspinall,TKO (knee injury)
Jack Hermansson,Chris Curtis,"Decision (unanimous) (29–28, 29–28, 30–27)"
Paddy Pimblett,Jordan Leavitt,Submission (rear-naked choke)
Nikita Krylov,Alexander Gustafsson,KO (punches)
Molly McCann,Hannah Goldy,TKO (spinning back elbow and punches)
Volkan Oezdemir,Paul Craig,"Decision (unanimous) (30–27, 30–27, 30–27)"
Ľudovít Klein,Mason Jones,"Decision (unanimous) (30–27, 30–27, 30–27)"
Marc Diakiese,Damir Hadžović,"Decision (unanimous) (30–26, 30–26, 30–27)"
Nathaniel Wood,Charles Rosa,"Decision (unanimous) (30–26, 30–26, 30–27)"
Jonathan Pearce,Makwan Amirkhani,TKO (punches)
Muhammad Mokaev,Charles Johnson,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jai Herbert,Kyle Nelson,"Decision (unanimous) (29–28, 29–28, 29–28)"
Victoria Leonardo,Mandy Böhm,"Decision (unanimous) (30–27, 30–27, 30–27)"
Nicolas Dalby,Cláudio Silva,"Decision (unanimous) (29–28, 29–28, 29–27)"
Yair Rodríguez,Brian Ortega,TKO (shoulder injury)
Amanda Lemos,Michelle Waterson,Submission (guillotine choke)
Li Jingliang,Muslim Salikhov,TKO (punches and elbows)
Matt Schnell,Su Mudaerji,Technical Submission (triangle choke)
Shane Burgos,Charles Jourdain,"Decision (majority) (29–28, 29–28, 28–28)"
Lauren Murphy,Miesha Tate,"Decision (unanimous) (30–27, 30–27, 29–28)"
Punahele Soriano,Dalcha Lungiambula,KO (punches)
Ricky Simón,Jack Shore,Submission (arm-triangle choke)
Bill Algeo,Herbert Burns,TKO (retirement)
Dustin Jacoby,Da Un Jung,KO (punch)
Dustin Stoltzfus,Dwight Grant,"Decision (unanimous) (29–28, 29–28, 29–28)"
Emily Ducote,Jessica Penne,"Decision (unanimous) (29–28, 29–28, 30–27)"
Rafael Fiziev,Rafael dos Anjos,KO (punches)
Caio Borralho,Armen Petrosyan,"Decision (unanimous) (30–27, 30–27, 29–28)"
Said Nurmagomedov,Douglas Silva de Andrade,"Decision (unanimous) (30–27, 29–28, 29–28)"
Chase Sherman,Jared Vanderaa,TKO (punches)
Aiemann Zahabi,Ricky Turcios,"Decision (unanimous) (29–28, 29–28, 29–28)"
Jamie Mullarkey,Michael Johnson,"Decision (split) (28–29, 29–28, 29–28)"
Cody Brundage,Tresean Gore,KO (punches)
Antonina Shevchenko,Cortney Casey,"Decision (split) (29–28, 28–29, 29–28)"
David Onama,Garrett Armfield,Technical Submission (arm-triangle choke)
Kennedy Nzechukwu,Karl Roberson,TKO (elbows)
Saidyokub Kakhramonov,Ronnie Lawrence,"Decision (unanimous) (30–26, 30–27, 30–27)"
Israel Adesanya(c),Jared Cannonier,"Decision (unanimous) (49–46, 49–46, 50–45)"
Alexander Volkanovski(c),Max Holloway,"Decision (unanimous) (50–45, 50–45, 50–45)"
Alex Pereira,Sean Strickland,KO (punches)
Bryan Barberena,Robbie Lawler,TKO (punches)
Pedro Munhoz,Sean O'Malley,No Contest (accidental eye poke)
Jalin Turner,Brad Riddell,Submission (guillotine choke)
Jim Miller,Donald Cerrone,Submission (guillotine choke)
Ian Garry,Gabriel Green,"Decision (unanimous) (30–27, 30–27, 30–27)"
Dricus du Plessis,Brad Tavares,"Decision (unanimous) (29–28, 29–28, 29–28)"
André Muniz,Uriah Hall,"Decision (unanimous) (30–27, 30–27, 30–27)"
Maycee Barber,Jessica Eye,"Decision (unanimous) (29–28, 29–28, 30–27)"
Julija Stoliarenko,Jessica-Rose Clark,Submission (armbar)
Mateusz Gamrot,Arman Tsarukyan,"Decision (unanimous) (48–47, 48–47, 48–47)"
Shavkat Rakhmonov,Neil Magny,Submission (guillotine choke)
Josh Parisian,Alan Baudot,TKO (punches)
Thiago Moisés,Christos Giagos,Submission (rear-naked choke)
Umar Nurmagomedov,Nate Maness,"Decision (unanimous) (30–27, 30–26, 30–25)"
Chris Curtis,Rodolfo Vieira,"Decision (unanimous) (29–28, 29–28, 29–28)"
Carlos Ulberg,Tafon Nchukwi,TKO (punches)
Shayilan Nuerdanbieke,T.J. Brown,"Decision (unanimous) (29–28, 29–28, 29–28)"
Sergey Morozov,Raulian Paiva,"Decision (unanimous) (29–28, 29–28, 29–28)"
Cody Durden,JP Buys,TKO (punches)
Mario Bautista,Brian Kelleher,Submission (rear-naked choke)
Vanessa Demopoulos,Jinh Yu Frey,"Decision (split) (28–29, 29–28, 30–27)"
Josh Emmett,Calvin Kattar,"Decision (split) (47–48, 48–47, 48–47)"
Kevin Holland,Tim Means,Submission (D'Arce choke)
Joaquin Buckley,Albert Duraev,TKO (doctor stoppage)
Damir Ismagulov,Guram Kutateladze,"Decision (split) (28–29, 29–28, 30–27)"
Gregory Rodrigues,Julian Marquez,KO (punches)
Adrian Yanez,Tony Kelley,TKO (punches)
Natália Silva,Jasmine Jasudavicius,"Decision (unanimous) (30–26, 30–26, 30–27)"
Jeremiah Wells,Court McGee,KO (punch)
Ricardo Ramos,Danny Chavez,KO (spinning back elbow)
Maria Oliveira,Gloria de Paula,"Decision (split) (29–28, 28–29, 29–28)"
Cody Stamann,Eddie Wineland,TKO (punches)
Phil Hawes,Deron Winn,TKO (elbows)
Roman Dolidze,Kyle Daukaus,KO (knee and punches)
Jiří Procházka,Glover Teixeira(c),Submission (rear-naked choke)
Valentina Shevchenko(c),Taila Santos,"Decision (split) (48–47, 47–48, 49–46)"
Zhang Weili,Joanna Jędrzejczyk,KO (spinning backfist)
Jake Matthews,André Fialho,KO (punches)
Jack Della Maddalena,Ramazan Emeev,TKO (punches)
Joshua Culibao,Seung Woo Choi,"Decision (split) (28–29, 29–28, 29–28)"
Hayisaer Maheshate,Steve Garcia,KO (punch)
Brendan Allen,Jacob Malkoun,"Decision (unanimous) (29–28, 29–28, 29–28)"
Kang Kyung-ho,Danaa Batgerel,"Decision (unanimous) (29–28, 29–28, 29–28)"
Silvana Gómez Juárez,Na Liang,KO (punches)
Joselyne Edwards,Ramona Pascual,"Decision (unanimous) (30–27, 29–28, 29–28)"
Alexander Volkov,Jairzinho Rozenstruik,TKO (punches)
Movsar Evloev,Dan Ige,"Decision (unanimous) (30–26, 30–27, 30–27)"
Lucas Almeida,Michael Trizano,TKO (punches)
Karine Silva,Poliana Botelho,Submission (D'Arce choke)
Ode' Osbourne,Zarrukh Adashev,KO (punches)
Alonzo Menifield,Askar Mozharov,TKO (elbows)
Karolina Kowalkiewicz,Felice Herrig,Submission (rear-naked choke)
Joe Solecki,Alex da Silva Coelho,"Decision (majority) (28–28, 28–27, 29–27)"
Damon Jackson,Daniel Argueta,"Decision (unanimous) (30–27, 30–27, 29–28)"
Benoît Saint-Denis,Niklas Stolze,Submission (rear-naked choke)
Tony Gravely,Johnny Muñoz Jr.,KO (punches)
Jeff Molina,Zhalgas Zhumagulov,"Decision (split) (28–29, 29–28, 30–27)"
Rinat Fakhretdinov,Andreas Michailidis,"Decision (unanimous) (30–26, 30–26, 30–27)"
Erin Blanchfield,JJ Aldrich,Submission (guillotine choke)
Ketlen Vieira,Holly Holm,"Decision (split) (47–48, 48–47, 48–47)"
Michel Pereira,Santiago Ponzinibbio,"Decision (split) (28–29, 30–27, 29–28)"
Chidi Njokuani,Duško Todorović,KO (elbow)
Tabatha Ricci,Polyana Viana,"Decision (unanimous) (29–28, 29–28, 29–28)"
Jun Yong Park,Eryk Anders,"Decision (split) (28–29, 29–28, 29–28)"
Joseph Holmes,Alen Amedovski,Submission (rear-naked choke)
Jailton Almeida,Parker Porter,Submission (rear-naked choke)
Uroš Medić,Omar Morales,TKO (punches)
Jonathan Martinez,Vince Morales,"Decision (unanimous) (30–27, 30–27, 30–27)"
Chase Hooper,Felipe Colares,TKO (punches)
Sam Hughes,Elise Reed,TKO (elbow and punches)
Jan Błachowicz,Aleksandar Rakić,TKO (knee injury)
Ryan Spann,Ion Cuțelaba,Submission (guillotine choke)
Davey Grant,Louis Smolka,KO (punches)
Katlyn Chookagian,Amanda Ribas,"Decision (split) (28–29, 29–28, 29–28)"
Manuel Torres,Frank Camacho,TKO (punches)
Allan Nascimento,Jake Hadley,"Decision (unanimous) (30–27, 30–27, 30–27)"
Viviane Araújo,Andrea Lee,"Decision (unanimous) (29–28, 29–27, 29–27)"
Michael Johnson,Alan Patrick,KO (punches)
Virna Jandiroba,Angela Hill,"Decision (unanimous) (30–27, 30–27, 30–27)"
Tatsuro Taira,Carlos Candelario,"Decision (unanimous) (30–26, 30–27, 30–27)"
Andre Petroski,Nick Maximov,Technical Submission (anaconda choke)
Charles Oliveira,Justin Gaethje,Submission (rear-naked choke)
Carla Esparza,Rose Namajunas(c),"Decision (split) (47–48, 49–46, 48–47)"
Michael Chandler,Tony Ferguson,KO (front kick)
Ovince Saint Preux,Maurício Rua,"Decision (split) (28–29, 29–28, 30–27)"
Randy Brown,Khaos Williams,"Decision (split) (29–28, 28–29, 29–28)"
Francisco Trinaldo,Danny Roberts,"Decision (unanimous) (29–28, 30–27, 30–26)"
